Navio Ship,Cheg/Arrival d/m/y,Operaç Operat,Mercadoria Goods,Peso Weight
NYK RUMINA,23/10/2025 13:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,9000 7830
ONE AMAZON,24/10/2025 12:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,15300 1530
BROOKLYN BRIDGE,24/10/2025 15:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,15300 1530
EVER LADEN,24/10/2025 19:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,180 19800
WIDE HOTEL,26/10/2025 19:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,15300 1530
REN JIAN 20,29/10/2025 14:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,15300 1530
NYK DIANA,31/10/2025 15:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,15300 1530
MOL EARNEST,05/11/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,15300 1530
ONE STRENGTH,07/11/2025 13:30:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1530 15300
SENTINEL,20/09/2025 00:01:00,EMB,ACUCAR,32000
PACIFIC LILY,23/09/2025 06:00:00,EMB,ACUCAR,57000
TAHO VIRTUE,26/09/2025 08:00:00,EMB,ACUCAR,81600
BLOCK ISLAND,03/10/2025 06:00:00,EMB,ACUCAR,49500
LYRA M,25/10/2025 07:00:00,EMB,ACUCAR,53000
