GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,Unnamed: 15_level_0
Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
DOKOS,ILHAS MARSHALL,229 13.3,Long,04/10/2025 08:00:00,,ALPHAMAR AGÊNCIA MARÍTIMA LTDA.,EMB,MILHO A GRANEL,71030,4561-2 2025,449742025,B,38,9941049,
HYDRUS,LIBERIANA,229 7,Long,04/10/2025 10:00:00,,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",EMB,MILHO A GRANEL,68100,4506-1 2025,450702025,B,39,9384980,
PENDULUM,ILHAS MARSHALL,230 12.2,Long,05/10/2025 08:00:00,,FERTIMPORT S/A.,EMB,MILHO A GRANEL,68000,4358-2 2025,426632025,B,TGG,9344095,
PRABHU DAS,INDIANA,225 13.5,Long,05/10/2025 08:00:00,,AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,EMB,MILHO A GRANEL,65000,4494-3 2025,449702025,B,19,9279795,
SPRING LOTUS,PANAMENHA,200 12.1,Long,05/10/2025 08:00:00,,ALPHAMAR AGÊNCIA MARÍTIMA LTDA.,EMB,PELLETS A GRANEL,52080,4567-- 2025,449782025,B,ULTRAFERTIL,9942110,
HUDSON TRADER,PANAMENHA,229 12.9,Long,06/10/2025 05:00:00,,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",EMB,SOJA A GRANEL,70629,4508-4 2025,450742025,B,38,9937593,
SSI MAJESTY,ILHAS MARSHALL,190 12.6,Long,06/10/2025 08:00:00,,AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,EMB,MILHO A GRANEL,50000,4570-1 2025,457592025,B,12A-13/14-20/21,9478913,
OMICRON PEARL,LIBERIANA,225 9,Long,06/10/2025 10:00:00,,ROCHAMAR AGENCIA MARITIMA S/A,EMB,MILHO A GRANEL,66000,4461-8 2025,445572025,B,39,9442859,
TOMAHAWK,LIBERIANA,229 9,Long,06/10/2025 10:00:00,,ROCHAMAR AGENCIA MARITIMA S/A,EMB,PELLETS A GRANEL,66000,4485-4 2025,449732025,B,39,9737591,
YANGZE 15,LIBERIANA,229 13.4,Long,06/10/2025 10:00:00,,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",EMB,SOJA A GRANEL,69400,4507-8 2025,446892025,B,38,9849552,
AUDACITY,LIBERIANA,229 13.5,Long,07/10/2025 08:00:00,,AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,EMB,MILHO A GRANEL,65000,4554-6 2025,455952025,B,12A-13/14-20/21,9783954,
KONKAR ASTERI,MALTESA,229 13,Long,13/10/2025 07:00:00,,FERTIMPORT S/A.,EMB,SOJA A GRANEL,68000,4573-- 2025,457722025,B,ULTRAFERTIL,9738040,
