CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,Unnamed: 15_level_0
Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
KOTA PAHLAWAN,SINGAPURENSE,330 8,Long,01/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 12600,4342-9 2025,428872025,B,29-TECON,9786712,
KOTA PURI,HONG KONG,330 8,Long,01/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 12600,3395-1 2025,340152025,B,TECON,9793959,
LOG-IN JACARANDA,BRASILEIRA,218 9.1,Cabo,01/10/2025,,MSC MEDITERRANEAN SHIPPING DO BR,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200 7200,4295-- 2025,429262025,B,TECON,9471886,
LOG-IN RESILIENTE (REB),BRASILEIRA,211 9.1,Cabo,01/10/2025,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200 7200,4009-8 2025,403522025,B,B.T.P. 1,9327669,
MAERSK JAIPUR,MALTESA,222 9,Long,01/10/2025,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,3733-4 2025,331812025,B,EPORT 1/TECON 1,9343974,
MAERSK LABREA,DINAMARQUESA,300 9,Long,01/10/2025,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,2595-7 2025,257122025,B,B.T.P. 1,9527063,
MAERSK RUBICON,SINGAPURENSE,250 9,Long,01/10/2025,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,4179-- 2025,355232025,B,B.T.P. 1,9632480,
MSC AVNI,LIBERIANA,314 13.8,Long,01/10/2025,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,27000 1800,4086-2 2025,411362025,B,B.T.P. 1,9756729,
MSC MADHU B,PORTUGUESA,230 13.8,Long,01/10/2025,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,27000 1800,4110-- 2025,411372025,B,B.T.P. 1,9778088,
MSC VANESSA,PANAMENHA,300 10.4,Long,01/10/2025,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 14400,1962-6 2025,199772025,B,B.T.P. 1,9251688,
