CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,Unnamed: 15_level_0
Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
NAVIOS DOMINO,LIBERIANA,261 9.9,Long,10/10/2025 15:00:00,,OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,15300 1530,4448-1 2025,445462025,B,29-TECON,9478494,
EVER FIT,PANAMENHA,334 13,Long,10/10/2025 19:00:00,,EVERGREEN SHIPPING AGENCY(BR) SA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,180 19800,4553-0 2025,452082025,B,TECON,9850795,
MSC INSA,LIBERIANA,335 13.8,Long,11/10/2025 03:00:00,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,18000 1800,4536-8 2025,444132025,B,B.T.P. 1,1016666,
MSC ELLEN,LIBERIANA,347 13.8,Long,11/10/2025 06:00:00,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,27000 1800,4577-6 2025,456852025,B,B.T.P. 1,9166780,
RDO ENDEAVOUR,LIBERIANA,285 9.9,Long,11/10/2025 19:00:00,,OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1530 15300,4480-2 2025,447662025,B,EPORT 1/TECON 1,9302102,
HYUNDAI FAITH,ILHAS MARSHALL,340 10,Long,12/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,4426-8 2025,443452025,B,EPORT 1/TECON 1,9347554,
PARANAGUA EXPRESS,SINGAPURENSE,330 5,Long,12/10/2025 10:00:00,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,21852 180,4535-1 2025,451972025,B,B.T.P. 1,9786724,
BROOKLYN BRIDGE,JAPONESA,267 9.9,Long,12/10/2025 19:00:00,,OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1530 15300,4481-9 2025,448002025,B,29-TECON,9458999,
CZECH,LIBERIANA,300 9,Long,13/10/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,17370 360,4574-7 2025,454842025,B,B.T.P. 1,9723241,
WIELAND,PORTUGUESA,255 5,Long,14/10/2025 10:00:00,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,2106 18396,4539-7 2025,452342025,B,EPORT 1/TECON 1,9654464,
COPIAPO,LIBERIANA,300 5,Long,15/10/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,108 14760,4543-4 2025,454932025,B,TECON,9687526,
EVER FAST,LIBERIANA,334 13.5,Long,15/10/2025 07:00:00,,EVERGREEN SHIPPING AGENCY(BR) SA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,19800 180,4552-3 2025,455092025,B,TECON,9850874,
BARTOLOMEU DIAS,BRASILEIRA,255 9,Cabo,16/10/2025 02:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,4271-4 2025,426682025,B,EPORT 1/TECON 1,9625384,
FERNÃO DE MAGALHÃES,BRASILEIRA,228 9,Cabo,17/10/2025 14:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600 3600,4278-9 2025,426812025,B,EPORT 1/TECON 1,9603221,
SEASPAN EMPIRE,HONG KONG,294 5,Long,18/10/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1620 15300,4565-8 2025,454972025,B,EPORT 1/TECON 1,9407160,
NYK DIANA,PANAMENHA,294 9.9,Long,19/10/2025 19:00:00,,OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1530 15300,4501-0 2025,450352025,B,TECON,9337688,
HYUNDAI HONGKONG,CIPRIOTA,304 11.2,Long,20/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 12600,4564-1 2025,457282025,B,EPORT 1/TECON 1,9305661,
NC BRISA (REB S/L),BRASILEIRA,224 5,Cabo,20/10/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,4500 6300,4542-8 2025,454912025,B,TECON,9612789,
IRENES RESOLVE,LIBERIANA,257 10.9,Long,23/10/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,4536 360,4555-2 2025,455912025,B,TECON,9227273,
VICENTE PINZÓN,BRASILEIRA,255 9,Cabo,23/10/2025 02:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,4275-0 2025,423662025,B,EPORT 1/TECON 1,9625396,
NYK RUMINA,SINGAPURENSE,294 12.5,Long,23/10/2025 13:00:00,,OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,9000 7830,4496-6 2025,450452025,B,EPORT 1/TECON 1,9416991,
ONE AMAZON,HONG KONG,330 11.2,Long,24/10/2025 12:00:00,,OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,15300 1530,4447-5 2025,445662025,B,B.T.P. / TECON,9937323,
BROOKLYN BRIDGE,JAPONESA,267 12.3,Long,24/10/2025 15:00:00,,OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,15300 1530,4482-5 2025,448032025,B,29-TECON,9458999,
EVER LADEN,PANAMENHA,335 13,Long,24/10/2025 19:00:00,,EVERGREEN SHIPPING AGENCY(BR) SA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,180 19800,4583-6 2025,458902025,B,TECON,9595448,
WIDE HOTEL,ILHAS MARSHALL,255 13.5,Long,26/10/2025 19:00:00,,OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,15300 1530,4517-3 2025,452212025,B,EPORT 1/TECON 1,9694593,
REN JIAN 20,CHINESA,260 12,Long,29/10/2025 14:00:00,,OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,15300 1530,4520-4 2025,452292025,B,EPORT 1/TECON 1,9464699,
NYK DIANA,PANAMENHA,294 10,Long,31/10/2025 15:00:00,,OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,15300 1530,4500-3 2025,450382025,B,TECON,9337688,
MOL EARNEST,PANAMENHA,294 12,Long,05/11/2025,,OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,15300 1530,4459-3 2025,445772025,B,EPORT 1/TECON 1,9333840,
ONE STRENGTH,SINGAPURENSE,336 12.2,Long,07/11/2025 13:30:00,,OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1530 15300,4576-0 2025,452362025,B,B.T.P. / TECON,9976719,
