PRIORIDADE C5,PRIORIDADE C5,PRIORIDADE C5,PRIORIDADE C5,PRIORIDADE C5,PRIORIDADE C5,PRIORIDADE C5,PRIORIDADE C5,PRIORIDADE C5,PRIORIDADE C5,PRIORIDADE C5,PRIORIDADE C5,PRIORIDADE C5,PRIORIDADE C5,PRIORIDADE C5,Unnamed: 15_level_0
Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
ALPHARD,BRASILEIRA,24 3.5,Long,01/10/2025,,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",EMB,OUTROS,1,4225-2 2025,423012025,C5,SAIPEN,9573206,
CENTAURUS,LIBERIANA,144 6.2,Long,01/10/2025,,ORION OPERACOES PORTUARIAS LTDA,EMB,OUTROS,1000,4547-0 2025,455192025,C5,CODESP-RUA,9400978,
HARIS,BRASILEIRA,29 3,Long,01/10/2025,,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",EMB,OUTROS,10,4378-3 2025,436282025,C5,W e S,9341859,
LYRA,BRASILEIRA,24 3.4,Long,01/10/2025,,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",EMB,OUTROS,1,4352-4 2025,430952025,C5,SAIPEN,9541772,
SAHY,BRASILEIRA,41 1.5,Long,01/10/2025,,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",EMB,OUTROS,1,4327-0 2025,406172025,C5,SAIPEN,9999312,
SAVEIROS PELICANO,BRASILEIRA,72 5,Long,01/10/2025,,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",EMB,OUTROS,1000,3269-6 2025,322812025,C5,SAIPEN,9424962,
WS ARIES,BRASILEIRA,33 3,Long,01/10/2025,,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",EMB,OUTROS,1,3872-4 2025,389312025,C5,SAIPEN,9834557,
SAGA FRAM,HONG KONG,200 10,Long,05/10/2025,,LACHMANN AGENCIA MARITIMA LTDA,EMB,PAPEL E CELULOSE,12000,4550-- 2025,450782025,C5,CODESP-RUA,9613874,
